date,location,population,GDP,energy_consumption,GSP,lat,long
2000-01,nsw,6851887,,1450.5,411286,-31.2532,146.9211
2001-02,nsw,6905434,,1445.7,419311,-31.2532,146.9211
2002-03,nsw,6948072,,1510.5,428112,-31.2532,146.9211
2003-04,nsw,6979675,,1574.8,442714,-31.2532,146.9211
2004-05,nsw,7024605,,1544.9,450746,-31.2532,146.9211
2005-06,nsw,7077860,,1546,457016,-31.2532,146.9211
2006-07,nsw,7176800,,1568.9,465480,-31.2532,146.9211
2007-08,nsw,7291829,,1610.7,477101,-31.2532,146.9211
2008-09,nsw,7408540,,1592.2,482539,-31.2532,146.9211
2009-10,nsw,7506058,,1643.2,492315,-31.2532,146.9211
2010-11,nsw,7586514,,1665.7,504340,-31.2532,146.9211
2011-12,nsw,7680783,,1619.6,516038,-31.2532,146.9211
2012-13,nsw,7787289,,1566.2,525816,-31.2532,146.9211
2000-01,qld,3571469,,1020,192765,-20.9176,142.7028
2001-02,qld,3653123,,1057.8,205841,-20.9176,142.7028
2002-03,qld,3743121,,1064,212503,-20.9176,142.7028
2003-04,qld,3829970,,1081.1,225939,-20.9176,142.7028
2004-05,qld,3918494,,1225.1,238219,-20.9176,142.7028
2005-06,qld,4007992,,1279.5,250498,-20.9176,142.7028
2000-01,wa,1906274,,708.1,122969,-27.6728,121.6283
2001-02,wa,1928512,,722.9,131200,-27.6728,121.6283
2002-03,wa,1952741,,720,138059,-27.6728,121.6283
2003-04,wa,1979542,,730.3,146469,-27.6728,121.6283
2004-05,wa,2011207,,748.2,151620,-27.6728,121.6283
2005-06,wa,2050581,,757.1,158729,-27.6728,121.6283
2006-07,qld,4111018,,1329,267333,-20.9176,142.7028
2007-08,qld,4219505,,1289.5,279738,-20.9176,142.7028
2008-09,qld,4328771,,1346.7,283635,-20.9176,142.7028
2009-10,qld,4404744,,1295.8,287659,-20.9176,142.7028
2010-11,qld,4476778,,1251.3,289605,-20.9176,142.7028
2011-12,qld,4568687,,1316.4,305645,-20.9176,142.7028
2012-13,qld,4652824,,1336.5,314029,-20.9176,142.7028
2013-14,nsw,7897152,,1514.2,535464,-31.2532,146.9211
2009-10,aus,22031750,1492456,5823.3,,-25.2744,133.7751
2010-11,aus,22340024,1529212,5902.2,,-25.2744,133.7751
2011-12,aus,22733465,1589129,5887.8,,-25.2744,133.7751
2012-13,aus,23128129,1630206,5915.3,,-25.2744,133.7751
2009-10,qld,4404744,,1295.8,287659,-20.9176,142.7028
2000-01,tas,473668,,93.6,21192,-41.4545,145.9707
2001-02,tas,474152,,97.2,22129,-41.4545,145.9707
2002-03,tas,478534,,99.5,22766,-41.4545,145.9707
2003-04,tas,483178,,103.4,23912,-41.4545,145.9707
2004-05,tas,486202,,107.4,24390,-41.4545,145.9707
2005-06,tas,489302,,111.6,25176,-41.4545,145.9707
2006-07,tas,493262,,113.3,25947,-41.4545,145.9707
2007-08,tas,498568,,115.5,26839,-41.4545,145.9707
2008-09,tas,504353,,114.9,27375,-41.4545,145.9707
2009-10,tas,508847,,114.9,27605,-41.4545,145.9707
2010-11,tas,511483,,114.9,28130,-41.4545,145.9707
2011-12,tas,511724,,108.1,28333,-41.4545,145.9707
2012-13,tas,512231,,113.5,28259,-41.4545,145.9707
2000-01,vic,4763615,,1337.2,268713,-37.4713,144.7852
2001-02,vic,4817774,,1371.9,279448,-37.4713,144.7852
2002-03,vic,4873809,,1330.6,289224,-37.4713,144.7852
2003-04,vic,4927149,,1364.9,298886,-37.4713,144.7852
2004-05,vic,4989246,,1356.5,311197,-37.4713,144.7852
2005-06,vic,5061266,,1429.5,317619,-37.4713,144.7852
2006-07,vic,5153522,,1433.9,326877,-37.4713,144.7852
2007-08,vic,5256375,,1426.1,338154,-37.4713,144.7852
2008-09,vic,5371934,,1418.9,344311,-37.4713,144.7852
2009-10,vic,5461101,,1424.3,348730,-37.4713,144.7852
2010-11,vic,5537817,,1446,358943,-37.4713,144.7852
2011-12,vic,5651091,,1454.3,366246,-37.4713,144.7852
2012-13,vic,5772669,,1422.4,370232,-37.4713,144.7852
2016-17,wa,2574193,,1172.9,251941,-27.6728,121.6283
2017-18,wa,2594181,,1206.6,258120,-27.6728,121.6283
2018-19,wa,2621836,,1261,260640,-27.6728,121.6283
2014-15,wa,2540672,,1041.8,253346,-27.6728,121.6283
2015-16,wa,2555978,,1120.7,256383,-27.6728,121.6283
2016-17,wa,2574193,,1172.9,251941,-27.6728,121.6283
2017-18,wa,2594181,,1206.6,258120,-27.6728,121.6283
2018-19,wa,2621836,,1261,260640,-27.6728,121.6283
2013-14,aus,23475686,1671501,5891.4,,-25.2744,133.7751
2014-15,aus,23815995,1708151,5897.3,,-25.2744,133.7751
2015-16,aus,24190907,1755478,6040.8,,-25.2744,133.7751
2006-07,wa,2106139,,820.7,168938,-27.6728,121.6283
2007-08,wa,2171700,,828,177371,-27.6728,121.6283
2008-09,wa,2240250,,918.8,183919,-27.6728,121.6283
2009-10,wa,2290845,,907.5,192854,-27.6728,121.6283
2010-11,wa,2353409,,981.8,201434,-27.6728,121.6283
2011-12,wa,2425507,,983.6,220648,-27.6728,121.6283
2014-15,nsw,8011981,,1467.6,549534,-31.2532,146.9211
2015-16,nsw,8135962,,1514.7,570349,-31.2532,146.9211
2016-17,nsw,8279961,,1525.3,588454,-31.2532,146.9211
2017-18,nsw,8400547,,1545.1,603143,-31.2532,146.9211
2018-19,nsw,8511621,,1540.6,614409,-31.2532,146.9211
2000-01,nsw,6851887,,1450.5,411286,-31.2532,146.9211
2001-02,nsw,6905434,,1445.7,419311,-31.2532,146.9211
2002-03,nsw,6948072,,1510.5,428112,-31.2532,146.9211
2000-01,qld,3571469,,1020,192765,-20.9176,142.7028
2001-02,qld,3653123,,1057.8,205841,-20.9176,142.7028
2002-03,qld,3743121,,1064,212503,-20.9176,142.7028
2003-04,qld,3829970,,1081.1,225939,-20.9176,142.7028
2004-05,qld,3918494,,1225.1,238219,-20.9176,142.7028
2005-06,qld,4007992,,1279.5,250498,-20.9176,142.7028
2012-13,wa,2486944,,1020.3,233689,-27.6728,121.6283
2013-14,wa,2517608,,1067.3,247281,-27.6728,121.6283
2014-15,wa,2540672,,1041.8,253346,-27.6728,121.6283
2015-16,wa,2555978,,1120.7,256383,-27.6728,121.6283
2016-17,aus,24601860,1797041,6114.6,,-25.2744,133.7751
2017-18,aus,24982688,1849880,6159.1,,-25.2744,133.7751
2018-19,aus,25357553,1884969,6196,,-25.2744,133.7751
2000-01,aus,19274701,1127062,5011.8,,-25.2744,133.7751
2001-02,aus,19495210,1172160,5097,,-25.2744,133.7751
2002-03,aus,19720737,1207160,5138.7,,-25.2744,133.7751
2006-07,qld,4111018,,1329,267333,-20.9176,142.7028
2007-08,qld,4219505,,1289.5,279738,-20.9176,142.7028
2008-09,qld,4328771,,1346.7,283635,-20.9176,142.7028
2009-10,qld,4404744,,1295.8,287659,-20.9176,142.7028
2010-11,qld,4476778,,1251.3,289605,-20.9176,142.7028
2011-12,qld,4568687,,1316.4,305645,-20.9176,142.7028
2012-13,qld,4652824,,1336.5,314029,-20.9176,142.7028
2003-04,nsw,6979675,,1574.8,442714,-31.2532,146.9211
2000-01,tas,473668,,93.6,21192,-41.4545,145.9707
2000-01,nt,201743,,73.2,14361,-19.4914,132.551
2004-05,nsw,7024605,,1544.9,450746,-31.2532,146.9211
2005-06,nsw,7077860,,1546,457016,-31.2532,146.9211
2006-07,nsw,7176800,,1568.9,465480,-31.2532,146.9211
2007-08,nsw,7291829,,1610.7,477101,-31.2532,146.9211
2001-02,nt,202251,,73.4,15378,-19.4914,132.551
2002-03,nt,201725,,56.8,15471,-19.4914,132.551
2003-04,nt,202663,,58.7,15570,-19.4914,132.551
2004-05,nt,205905,,61.5,15787,-19.4914,132.551
2005-06,nt,209057,,73,17010,-19.4914,132.551
2006-07,nt,213748,,82.8,18791,-19.4914,132.551
2007-08,nt,219874,,96,19162,-19.4914,132.551
2008-09,nt,226027,,95.1,20437,-19.4914,132.551
2009-10,nt,229778,,94.2,20147,-19.4914,132.551
2010-11,nt,231292,,99.8,20635,-19.4914,132.551
2011-12,nt,235915,,98.2,21607,-19.4914,132.551
2012-13,nt,241722,,100.1,24189,-19.4914,132.551
2001-02,tas,474152,,97.2,22129,-41.4545,145.9707
2013-14,qld,4719653,,1337.9,320742,-20.9176,142.7028
2002-03,tas,478534,,99.5,22766,-41.4545,145.9707
2003-04,tas,483178,,103.4,23912,-41.4545,145.9707
2004-05,tas,486202,,107.4,24390,-41.4545,145.9707
2005-06,tas,489302,,111.6,25176,-41.4545,145.9707
2006-07,tas,493262,,113.3,25947,-41.4545,145.9707
2007-08,tas,498568,,115.5,26839,-41.4545,145.9707
2008-09,tas,504353,,114.9,27375,-41.4545,145.9707
2009-10,tas,508847,,114.9,27605,-41.4545,145.9707
2010-11,tas,511483,,114.9,28130,-41.4545,145.9707
2011-12,tas,511724,,108.1,28333,-41.4545,145.9707
2008-09,nsw,7408540,,1592.2,482539,-31.2532,146.9211
2000-01,wa,1906274,,708.1,122969,-27.6728,121.6283
2001-02,wa,1928512,,722.9,131200,-27.6728,121.6283
2002-03,wa,1952741,,720,138059,-27.6728,121.6283
2003-04,wa,1979542,,730.3,146469,-27.6728,121.6283
2004-05,wa,2011207,,748.2,151620,-27.6728,121.6283
2005-06,wa,2050581,,757.1,158729,-27.6728,121.6283
2006-07,wa,2106139,,820.7,168938,-27.6728,121.6283
2007-08,wa,2171700,,828,177371,-27.6728,121.6283
2008-09,wa,2240250,,918.8,183919,-27.6728,121.6283
2003-04,aus,19932722,1256117,5284.7,,-25.2744,133.7751
2004-05,aus,20176844,1296365,5399.2,,-25.2744,133.7751
2005-06,aus,20450966,1332593,5546.7,,-25.2744,133.7751
2006-07,aus,20827622,1383822,5724,,-25.2744,133.7751
2007-08,aus,21249199,1434441,5738.3,,-25.2744,133.7751
2009-10,wa,2290845,,907.5,192854,-27.6728,121.6283
2010-11,wa,2353409,,981.8,201434,-27.6728,121.6283
2011-12,wa,2425507,,983.6,220648,-27.6728,121.6283
2012-13,wa,2486944,,1020.3,233689,-27.6728,121.6283
2000-01,qld,3571469,,1020,192765,-20.9176,142.7028
2001-02,qld,3653123,,1057.8,205841,-20.9176,142.7028
2002-03,qld,3743121,,1064,212503,-20.9176,142.7028
2003-04,qld,3829970,,1081.1,225939,-20.9176,142.7028
2004-05,qld,3918494,,1225.1,238219,-20.9176,142.7028
2005-06,qld,4007992,,1279.5,250498,-20.9176,142.7028
2006-07,qld,4111018,,1329,267333,-20.9176,142.7028
2007-08,qld,4219505,,1289.5,279738,-20.9176,142.7028
2008-09,qld,4328771,,1346.7,283635,-20.9176,142.7028
2009-10,qld,4404744,,1295.8,287659,-20.9176,142.7028
2000-01,nt,201743,,73.2,14361,-19.4914,132.551
2001-02,nt,202251,,73.4,15378,-19.4914,132.551
2002-03,nt,201725,,56.8,15471,-19.4914,132.551
2003-04,nt,202663,,58.7,15570,-19.4914,132.551
2004-05,nt,205905,,61.5,15787,-19.4914,132.551
2005-06,nt,209057,,73,17010,-19.4914,132.551
2010-11,qld,4476778,,1251.3,289605,-20.9176,142.7028
2011-12,qld,4568687,,1316.4,305645,-20.9176,142.7028
2012-13,qld,4652824,,1336.5,314029,-20.9176,142.7028
2008-09,aus,21691653,1462225,5843.8,,-25.2744,133.7751
2009-10,aus,22031750,1492456,5823.3,,-25.2744,133.7751
2010-11,aus,22340024,1529212,5902.2,,-25.2744,133.7751
2011-12,aus,22733465,1589129,5887.8,,-25.2744,133.7751
2012-13,aus,23128129,1630206,5915.3,,-25.2744,133.7751
2013-14,aus,23475686,1671501,5891.4,,-25.2744,133.7751
2014-15,aus,23815995,1708151,5897.3,,-25.2744,133.7751
2015-16,aus,24190907,1755478,6040.8,,-25.2744,133.7751
2016-17,aus,24601860,1797041,6114.6,,-25.2744,133.7751
2012-13,tas,512231,,113.5,28259,-41.4545,145.9707
2013-14,tas,513621,,108.7,28552,-41.4545,145.9707
2014-15,tas,515117,,105.4,28865,-41.4545,145.9707
2015-16,tas,517514,,107.5,29364,-41.4545,145.9707
2016-17,tas,522410,,107.9,29685,-41.4545,145.9707
2017-18,tas,528298,,110.9,30710,-41.4545,145.9707
2010-11,qld,4476778,,1251.3,289605,-20.9176,142.7028
2006-07,nt,213748,,82.8,18791,-19.4914,132.551
2007-08,nt,219874,,96,19162,-19.4914,132.551
2008-09,nt,226027,,95.1,20437,-19.4914,132.551
2009-10,nt,229778,,94.2,20147,-19.4914,132.551
2010-11,nt,231292,,99.8,20635,-19.4914,132.551
2011-12,nt,235915,,98.2,21607,-19.4914,132.551
2012-13,nt,241722,,100.1,24189,-19.4914,132.551
2013-14,nt,242894,,99.1,24502,-19.4914,132.551
2018-19,tas,534599,,108.8,31819,-41.4545,145.9707
2000-01,vic,4763615,,1337.2,268713,-37.4713,144.7852
2001-02,vic,4817774,,1371.9,279448,-37.4713,144.7852
2002-03,vic,4873809,,1330.6,289224,-37.4713,144.7852
2003-04,vic,4927149,,1364.9,298886,-37.4713,144.7852
2004-05,vic,4989246,,1356.5,311197,-37.4713,144.7852
2005-06,vic,5061266,,1429.5,317619,-37.4713,144.7852
2006-07,vic,5153522,,1433.9,326877,-37.4713,144.7852
2007-08,vic,5256375,,1426.1,338154,-37.4713,144.7852
2008-09,vic,5371934,,1418.9,344311,-37.4713,144.7852
2009-10,vic,5461101,,1424.3,348730,-37.4713,144.7852
2018-19,qld,5092526,,1525.3,357044,-20.9176,142.7028
2011-12,qld,4568687,,1316.4,305645,-20.9176,142.7028
2012-13,qld,4652824,,1336.5,314029,-20.9176,142.7028
2013-14,qld,4719653,,1337.9,320742,-20.9176,142.7028
2014-15,qld,4777692,,1432,323849,-20.9176,142.7028
2015-16,qld,4845152,,1460.2,331726,-20.9176,142.7028
2016-17,qld,4927629,,1529.6,339652,-20.9176,142.7028
2017-18,qld,5009424,,1552.5,352248,-20.9176,142.7028
2018-19,qld,5092526,,1525.3,357044,-20.9176,142.7028
2011-12,qld,4568687,,1316.4,305645,-20.9176,142.7028
2012-13,qld,4652824,,1336.5,314029,-20.9176,142.7028
2013-14,qld,4719653,,1337.9,320742,-20.9176,142.7028
2014-15,qld,4777692,,1432,323849,-20.9176,142.7028
2000-01,vic,4763615,,1337.2,268713,-37.4713,144.7852
2000-01,tas,473668,,93.6,21192,-41.4545,145.9707
2000-01,nt,201743,,73.2,14361,-19.4914,132.551
2000-01,wa,1906274,,708.1,122969,-27.6728,121.6283
2001-02,wa,1928512,,722.9,131200,-27.6728,121.6283
2002-03,wa,1952741,,720,138059,-27.6728,121.6283
2003-04,wa,1979542,,730.3,146469,-27.6728,121.6283
2004-05,wa,2011207,,748.2,151620,-27.6728,121.6283
2005-06,wa,2050581,,757.1,158729,-27.6728,121.6283
2006-07,wa,2106139,,820.7,168938,-27.6728,121.6283
2007-08,wa,2171700,,828,177371,-27.6728,121.6283
2008-09,wa,2240250,,918.8,183919,-27.6728,121.6283
2009-10,wa,2290845,,907.5,192854,-27.6728,121.6283
2010-11,wa,2353409,,981.8,201434,-27.6728,121.6283
2011-12,wa,2425507,,983.6,220648,-27.6728,121.6283
2017-18,aus,24982688,1849880,6159.1,,-25.2744,133.7751
2018-19,aus,25357553,1884969,6196,,-25.2744,133.7751
2000-01,aus,19274701,1127062,5011.8,,-25.2744,133.7751
2001-02,aus,19495210,1172160,5097,,-25.2744,133.7751
2002-03,aus,19720737,1207160,5138.7,,-25.2744,133.7751
2012-13,wa,2486944,,1020.3,233689,-27.6728,121.6283
2013-14,wa,2517608,,1067.3,247281,-27.6728,121.6283
2003-04,aus,19932722,1256117,5284.7,,-25.2744,133.7751
2004-05,aus,20176844,1296365,5399.2,,-25.2744,133.7751
2005-06,aus,20450966,1332593,5546.7,,-25.2744,133.7751
2006-07,aus,20827622,1383822,5724,,-25.2744,133.7751
2007-08,aus,21249199,1434441,5738.3,,-25.2744,133.7751
2008-09,aus,21691653,1462225,5843.8,,-25.2744,133.7751
2009-10,aus,22031750,1492456,5823.3,,-25.2744,133.7751
2010-11,aus,22340024,1529212,5902.2,,-25.2744,133.7751
2001-02,nt,202251,,73.4,15378,-19.4914,132.551
2002-03,nt,201725,,56.8,15471,-19.4914,132.551
2003-04,nt,202663,,58.7,15570,-19.4914,132.551
2003-04,nsw,6979675,,1574.8,442714,-31.2532,146.9211
2004-05,nsw,7024605,,1544.9,450746,-31.2532,146.9211
2005-06,nsw,7077860,,1546,457016,-31.2532,146.9211
2006-07,nsw,7176800,,1568.9,465480,-31.2532,146.9211
2007-08,nsw,7291829,,1610.7,477101,-31.2532,146.9211
2008-09,nsw,7408540,,1592.2,482539,-31.2532,146.9211
2009-10,nsw,7506058,,1643.2,492315,-31.2532,146.9211
2010-11,nsw,7586514,,1665.7,504340,-31.2532,146.9211
2011-12,nsw,7680783,,1619.6,516038,-31.2532,146.9211
2001-02,vic,4817774,,1371.9,279448,-37.4713,144.7852
2002-03,vic,4873809,,1330.6,289224,-37.4713,144.7852
2003-04,vic,4927149,,1364.9,298886,-37.4713,144.7852
2004-05,vic,4989246,,1356.5,311197,-37.4713,144.7852
2005-06,vic,5061266,,1429.5,317619,-37.4713,144.7852
2006-07,vic,5153522,,1433.9,326877,-37.4713,144.7852
2007-08,vic,5256375,,1426.1,338154,-37.4713,144.7852
2008-09,vic,5371934,,1418.9,344311,-37.4713,144.7852
2009-10,vic,5461101,,1424.3,348730,-37.4713,144.7852
2010-11,vic,5537817,,1446,358943,-37.4713,144.7852
2011-12,vic,5651091,,1454.3,366246,-37.4713,144.7852
2012-13,nsw,7787289,,1566.2,525816,-31.2532,146.9211
2013-14,nsw,7897152,,1514.2,535464,-31.2532,146.9211
2014-15,nsw,8011981,,1467.6,549534,-31.2532,146.9211
2015-16,nsw,8135962,,1514.7,570349,-31.2532,146.9211
2016-17,nsw,8279961,,1525.3,588454,-31.2532,146.9211
2000-01,qld,3571469,,1020,192765,-20.9176,142.7028
2001-02,qld,3653123,,1057.8,205841,-20.9176,142.7028
2002-03,qld,3743121,,1064,212503,-20.9176,142.7028
2003-04,qld,3829970,,1081.1,225939,-20.9176,142.7028
2004-05,qld,3918494,,1225.1,238219,-20.9176,142.7028
2005-06,qld,4007992,,1279.5,250498,-20.9176,142.7028
2014-15,wa,2540672,,1041.8,253346,-27.6728,121.6283
2015-16,wa,2555978,,1120.7,256383,-27.6728,121.6283
2016-17,wa,2574193,,1172.9,251941,-27.6728,121.6283
2017-18,wa,2594181,,1206.6,258120,-27.6728,121.6283
2018-19,wa,2621836,,1261,260640,-27.6728,121.6283
2000-01,wa,1906274,,708.1,122969,-27.6728,121.6283
2001-02,wa,1928512,,722.9,131200,-27.6728,121.6283
2002-03,wa,1952741,,720,138059,-27.6728,121.6283
2003-04,wa,1979542,,730.3,146469,-27.6728,121.6283
2011-12,aus,22733465,1589129,5887.8,,-25.2744,133.7751
2012-13,aus,23128129,1630206,5915.3,,-25.2744,133.7751
2013-14,aus,23475686,1671501,5891.4,,-25.2744,133.7751
2014-15,aus,23815995,1708151,5897.3,,-25.2744,133.7751
2015-16,aus,24190907,1755478,6040.8,,-25.2744,133.7751
2006-07,qld,4111018,,1329,267333,-20.9176,142.7028
2007-08,qld,4219505,,1289.5,279738,-20.9176,142.7028
2015-16,qld,4845152,,1460.2,331726,-20.9176,142.7028
2016-17,qld,4927629,,1529.6,339652,-20.9176,142.7028
2000-01,nt,201743,,73.2,14361,-19.4914,132.551
2001-02,nt,202251,,73.4,15378,-19.4914,132.551
2002-03,nt,201725,,56.8,15471,-19.4914,132.551
2003-04,nt,202663,,58.7,15570,-19.4914,132.551
2004-05,nt,205905,,61.5,15787,-19.4914,132.551
2005-06,nt,209057,,73,17010,-19.4914,132.551
2016-17,aus,24601860,1797041,6114.6,,-25.2744,133.7751
2017-18,aus,24982688,1849880,6159.1,,-25.2744,133.7751
2018-19,aus,25357553,1884969,6196,,-25.2744,133.7751
2000-01,aus,19274701,1127062,5011.8,,-25.2744,133.7751
2001-02,aus,19495210,1172160,5097,,-25.2744,133.7751
2002-03,aus,19720737,1207160,5138.7,,-25.2744,133.7751
2003-04,aus,19932722,1256117,5284.7,,-25.2744,133.7751
2004-05,aus,20176844,1296365,5399.2,,-25.2744,133.7751
2005-06,aus,20450966,1332593,5546.7,,-25.2744,133.7751
2000-01,tas,473668,,93.6,21192,-41.4545,145.9707
2006-07,nt,213748,,82.8,18791,-19.4914,132.551
2007-08,nt,219874,,96,19162,-19.4914,132.551
2008-09,nt,226027,,95.1,20437,-19.4914,132.551
2009-10,nt,229778,,94.2,20147,-19.4914,132.551
2001-02,tas,474152,,97.2,22129,-41.4545,145.9707
2002-03,tas,478534,,99.5,22766,-41.4545,145.9707
2003-04,tas,483178,,103.4,23912,-41.4545,145.9707
2004-05,tas,486202,,107.4,24390,-41.4545,145.9707
2005-06,tas,489302,,111.6,25176,-41.4545,145.9707
2006-07,tas,493262,,113.3,25947,-41.4545,145.9707
2007-08,tas,498568,,115.5,26839,-41.4545,145.9707
2008-09,tas,504353,,114.9,27375,-41.4545,145.9707
